gene_id,"(MEAN) Mated females (Rogers et al., 2009) virgin 0h","(MEAN) Mated females (Rogers et al., 2009) mated 2h","(MEAN) Mated females (Rogers et al., 2009) mated 6h","(MEAN) Mated females (Rogers et al., 2009) mated 24h"
AGAP005064,26.73068882764351,22.548869439511332,21.91393523377252,25.022719989331435
AGAP005065,282.60141027647296,176.56186309261625,671.498385162727,218.23824415010978
AGAP005066,,,,
AGAP004937,157.97107671195775,142.40715148546312,142.36701323163078,138.71146949171157
AGAP009570,112.03883904025294,106.69286913504908,125.83619565525754,108.8019158172476
AGAP004594,50.85666672077651,50.16768872033093,44.26884769846541,51.27853814859006
AGAP005070,175.48515742669247,145.03394898380273,173.8039143309659,155.84665608876008
AGAP005071,355.809162022933,332.4092572523553,349.9698139509728,351.7044663831213
AGAP006699,108.33419897058337,112.66105004430578,109.84383322179382,111.2906335990646
AGAP005075,351.16432407145686,300.67543891926937,323.33666903753686,372.9499996029089
AGAP005076,96.92095290504302,87.84930106578922,86.16791814270944,95.71212708198391
AGAP005079,293.8818613316526,290.3202807816913,266.32581763219673,292.3433846193063
AGAP005080,650.1687008177358,664.3149267359437,671.2781065172552,740.8837120935044
AGAP005081,480.89570500830206,478.67192580877617,552.9493623262414,467.83517173293114
AGAP002200,133.3450113365225,136.2526071088269,118.16890597984992,137.23391684575464
AGAP009025,26.352354412808136,28.957197140292752,27.604852283054303,30.86510737129977
AGAP005091,689.0739256030415,571.8462245113708,469.86475120518344,556.3111132832969
AGAP005092,240.65039364924365,247.72342574828536,258.58775588231845,256.8175613459556
AGAP008656,31.132673055436342,30.343224325846492,28.880739955928366,32.17199074460158
AGAP005094,,,,
AGAP005095,4506.526690710457,4460.324845106483,4173.956211240777,4037.183060552248
AGAP005096,19.21198963191478,20.6944452920889,19.685297845031915,20.209942850915574
AGAP005098,21.118566109147814,22.62391470474818,17.97994474333421,20.16567622491431
AGAP005481,,,,
AGAP005100,419.56053666644357,481.3569718869975,451.46907334975816,442.75249786833206
AGAP005101,16.186171673117023,16.991680359361105,15.17074467812179,14.580382110533952
AGAP029726,58.62340984231917,50.801646819801675,58.66819218301263,62.15376457381177
AGAP005103,1990.1343469888338,2146.6927770585744,1771.759009613459,1399.4073996599616
